ID	orig_x	orig_y	orig_z	Annotation	label_conf	world_x	world_y	world_z
DH0741_NSEQ	-9.155901077	68.69546234	-15.84298627	K154		41.88638427	-2.608890221	-10.13501278
DH0735_MMIR_KAL	-10.87911371	69.44249157	-16.07892388	K155		42.08474905	-1.952052223	-9.945985552
DH0736_MMIR_KAL	-10.12951552	71.40432558	-15.78560305	K156		42.84247684	-2.183787913	-9.857659659
DH0737_MMIR_KAL	-19.43390384	63.35680042	-14.52170668	K157		39.35143559	0.574688009	-8.507930799
DH0739_MMIR_KAL	-17.14995087	66.50810861	-15.82724203	K158		40.67420104	0.080405677	-9.130914139
DH0740_MMIR_KAL	-16.80790413	69.00322332	-16.27867178	K159		41.6313766	0.114375128	-9.220653583
DH0741_MMIR_KAL	-15.59489761	70.91075355	-16.01979425	K160		42.39306799	-0.274918448	-9.210435865
DH0742_MMIR_KAL	-18.94199442	74.37392433	-17.14711368	K161		43.54537795	1.167099542	-8.983567813
DH0743_MMIR_KAL	-20.11534181	72.88017839	-17.18463103	K162		42.93294905	1.525920807	-8.903539645
DH0744_MMIR_KAL	-20.63929265	68.66130182	-16.25577695	K163		41.31240185	1.426157593	-8.701835841
DH0745_MMIR_KAL	-20.41769858	67.13551769	-16.19984602	K164		40.75499279	1.287397888	-8.782528581
DH0746_MMIR_KAL	-22.89642444	63.72820928	-14.84782567	K165		39.32604375	1.833481863	-8.128337712
DH0747_MMIR_KAL	-29.34093919	69.28271905	-17.80947746	K166		41.15405657	4.682702559	-8.016850093
DH0748_MMIR_KAL	-27.33090412	87.06326741	-18.6003666	K167		47.88307922	4.728717083	-7.755821311
DH0749_MMIR_KAL	-29.97100097	73.09854954	-18.01512454	K168		42.54620581	5.065338347	-7.827439751
DH0750_MMIR_KAL	-32.45682431	71.8936684	-18.2793553	K169		41.98216641	5.921179162	-7.632538736
DH0636_MMIR_KAL	-40.66629054	26.43406848	-14.46886017	K41		24.572707	6.613410532	-7.257456394
