NR INDV clone_lineage LOC Depth CLADE
361 DH0389_MMIR_SNA 90 SNA reef_slope Major
362 DH0390_MMIR_SNA 90 SNA reef_slope Major
363 DH0391_MMIR_SNA 95 SNA reef_slope Major
364 DH0392_MMIR_SNA 96 SNA reef_slope Major
365 DH0393_MMIR_SNA 95 SNA reef_slope Major
366 DH0394_MMIR_SNA 90 SNA reef_slope Major
367 DH0395_MMIR_SNA 90 SNA reef_slope Major
368 DH0396_MMIR_SNA 94 SNA reef_slope Major
369 DH0397_MMIR_SNA 0 SNA reef_slope Major
370 DH0398_MMIR_SNA 90 SNA reef_slope Major
371 DH0399_MMIR_SNA 90 SNA reef_slope Major
372 DH0400_MMIR_SNA 90 SNA reef_slope Major
373 DH0401_MMIR_SNA 96 SNA reef_slope Major
374 DH0402_MMIR_SNA 0 SNA reef_slope Major
375 DH0403_MMIR_SNA 90 SNA reef_slope Major
376 DH0404_MMIR_SNA 96 SNA reef_slope Major
377 DH0405_MMIR_SNA 90 SNA reef_slope Major
378 DH0408_MMIR_SNA 0 SNA reef_slope Major
379 DH0410_MMIR_SNA 90 SNA reef_slope Major
380 DH0411_MMIR_SNA 96 SNA reef_slope Major
381 DH0412_MMIR_SNA 96 SNA reef_slope Major
382 DH0413_MMIR_SNA 90 SNA reef_slope Major
383 DH0414_MMIR_SNA 0 SNA reef_slope Major
384 DH0415_MMIR_SNA 177 SNA reef_slope Minor
385 DH0416_MMIR_SNA 177 SNA reef_slope Minor
386 DH0417_MMIR_SNA 177 SNA reef_slope Minor
387 DH0418_MMIR_SNA 0 SNA reef_slope Major
388 DH0419_MMIR_SNA 102 SNA reef_slope Major
389 DH0420_MMIR_SNA 102 SNA reef_slope Major
390 DH0421_MMIR_SNA 103 SNA reef_slope Major
391 DH0422_MMIR_SNA 102 SNA reef_slope Major
392 DH0423_MMIR_SNA 0 SNA reef_slope Minor
393 DH0426_MMIR_SNA 104 SNA reef_slope Major
394 DH0429_MMIR_SNA 104 SNA reef_slope Major
395 DH0430_MMIR_SNA 0 SNA reef_slope Major
396 DH0431_MMIR_SNA 90 SNA reef_slope Major
397 DH0432_MMIR_SNA 0 SNA reef_slope Minor
398 DH0433_MMIR_SNA 106 SNA reef_slope Major
399 DH0434_MMIR_SNA 106 SNA reef_slope Major
400 DH0435_MMIR_SNA 107 SNA reef_slope Major
401 DH0437_MMIR_SNA 107 SNA reef_slope Major
402 DH0438_MMIR_SNA 107 SNA reef_slope Major
403 DH0439_MMIR_SNA 108 SNA reef_slope Major
404 DH0440_MMIR_SNA 108 SNA reef_slope Major
405 DH0441_MMIR_SNA 11 SNA reef_slope Major
406 DH0442_MMIR_SNA 108 SNA reef_slope Major
407 DH0443_MMIR_SNA 107 SNA reef_slope Major
408 DH0444_MMIR_SNA 107 SNA reef_slope Major
